charging_id,vehicle_id,station_id,date_id,start_time,end_time,start_battery_pct,end_battery_pct,energy_added_kwh,charging_power_kw,charging_time_min,wait_time_min,charging_cost_inr,charging_success,connector_used,energy_added_was_outlier,wait_time_min_was_imputed,charging_cost_inr_was_imputed
1,2,170,20260505,2026-05-05 22:34:58.463869792,2026-05-05 23:33:58.463869792,22.0,71.3,24.359,24.47,59,10.0,462.82,True,CCS2,False,False,False
2,2,124,20260505,2026-05-06 06:20:18.297038423,2026-05-06 07:47:18.297038423,5.0,84.2,39.89,25.16,87,9.0,855.64,True,CCS2,False,False,False
3,2,59,20260508,2026-05-08 14:53:29.773478806,2026-05-08 15:55:29.773478806,5.0,76.3,35.092,32.66,62,12.0,701.84,True,CCS2,False,False,False
4,2,163,20260509,2026-05-09 16:42:57.413019643,2026-05-09 17:52:57.413019643,5.0,84.2,40.237,32.63,70,13.0,965.69,True,CCS2,False,False,False
5,2,142,20260602,2026-06-02 18:10:10.324435008,2026-06-02 23:05:10.324435008,17.3,89.2,34.433,6.63,295,10.0,395.98,True,TYPE 2,False,False,False
6,2,59,20260608,2026-06-09 00:50:21.597487367,2026-06-09 01:51:21.597487367,5.0,80.4,37.695,36.62,61,17.0,753.9,True,CCS2,False,False,False
7,2,142,20260613,2026-06-13 12:15:53.775912482,2026-06-13 18:31:53.775912482,5.0,94.5,43.007,6.49,376,11.0,544.04,True,TYPE 2,False,False,False
8,2,124,20260628,2026-06-28 17:39:23.220991249,2026-06-28 19:23:23.220991249,8.4,81.2,35.236,19.83,104,12.0,687.1,True,CCS2,False,False,False
9,2,63,20260628,2026-06-29 02:27:07.751896452,2026-06-29 14:30:07.751896452,5.0,89.0,40.914,3.15,723,8.0,409.14,True,TYPE 2,False,False,False
10,2,142,20260630,2026-06-30 21:51:37.365100726,2026-07-01 04:06:37.365100726,5.0,98.6,47.664,6.83,375,11.0,548.14,True,TYPE 2,False,False,False
11,2,142,20260708,2026-07-08 12:54:04.821678594,2026-07-08 18:49:04.821678594,5.0,91.2,43.403,6.64,355,18.0,499.13,True,TYPE 2,False,False,False
12,2,12,20260722,2026-07-22 17:03:22.794589387,2026-07-22 17:51:22.794589387,20.2,77.4,29.02,36.3,48,9.0,609.42,True,CCS2,False,False,False
13,2,163,20260725,2026-07-25 13:59:24.909367839,2026-07-25 14:54:24.909367839,16.0,82.4,32.544,35.07,55,17.0,859.16,True,CCS2,False,False,False
14,2,161,20260801,2026-08-01 21:42:26.687695144,2026-08-01 22:48:26.687695144,10.4,71.1,30.843,26.32,66,8.0,740.23,True,CCS2,False,False,False
15,2,23,20260810,2026-08-10 17:45:59.525093184,2026-08-10 18:59:59.525093184,5.0,75.3,35.42,26.41,74,15.0,818.2,True,CCS2,False,False,False
16,2,12,20260818,2026-08-18 23:27:59.451527909,2026-08-19 00:18:59.451527909,12.8,79.5,32.508,39.56,51,15.0,750.93,True,CCS2,False,False,False
17,2,161,20260914,2026-09-14 23:37:30.783078993,2026-09-15 01:02:30.783078993,5.0,81.8,38.533,25.14,85,19.0,924.79,True,CCS2,False,False,False
18,3,84,20260410,2026-04-10 11:24:32.324981916,2026-04-10 12:08:32.324981916,21.8,76.4,17.643,24.02,44,0.0,388.15,True,CCS2,False,False,False
