trip_id,vehicle_id,date_id,start_time,end_time,start_battery_pct,end_battery_pct,distance_km,avg_speed_kmph,driving_mode,terrain,elevation_gain_m,outside_temp_c,ac_usage,traffic_condition,energy_consumed_kwh,estimated_range_km,actual_range_achieved_km,battery_health_pct_at_trip,distance_km_was_outlier,outside_temp_c_was_imputed,avg_speed_kmph_was_imputed,ac_usage_was_imputed,driving_mode_was_imputed
1,1,20260709,2026-07-09 06:06:00.154875206,2026-07-09 06:21:57.458245992,100.0,97.8,7.1,26.7,Eco,Flat,2,26.4,False,Moderate,0.664,267,321,100.0,False,False,False,False,False
2,1,20260709,2026-07-09 08:02:48.869011784,2026-07-09 09:13:59.836753719,97.8,87.1,33.1,27.9,Eco,Mixed,97,24.1,False,Moderate,3.204,264,310,100.0,False,False,False,False,False
3,1,20260713,2026-07-13 06:23:12.715826401,2026-07-13 07:39:40.951120518,87.1,72.7,39.0,30.6,City,Mixed,132,26.6,False,Light,4.325,253,271,99.98,False,False,False,False,False
4,1,20260714,2026-07-14 08:18:33.870891697,2026-07-14 09:01:19.388133076,72.7,67.9,12.4,17.4,City,Flat,10,24.4,True,Heavy,1.447,201,257,99.97,False,False,False,False,False
5,1,20260715,2026-07-15 06:50:16.901243109,2026-07-15 08:12:16.358256683,67.9,55.8,30.2,22.1,Eco,Hilly,299,26.0,True,Moderate,3.626,191,250,99.97,False,False,False,False,False
6,1,20260715,2026-07-15 10:14:40.355951282,2026-07-15 10:42:50.599853721,55.8,50.4,15.4,32.8,Eco,Mixed,58,24.1,True,Light,1.605,153,288,99.97,False,False,False,False,False
7,1,20260722,2026-07-22 08:20:18.038259218,2026-07-22 08:46:13.067845016,84.9,82.3,7.3,22.0,City,Flat,5,28.0,False,Heavy,0.784,236,279,99.93,False,False,True,False,False
8,1,20260726,2026-07-26 08:06:59.246569427,2026-07-26 08:52:05.053021039,82.3,71.1,23.3,31.0,Sport,Mixed,20,26.6,False,Heavy,3.374,229,207,99.92,False,False,False,False,False
9,1,20260728,2026-07-28 09:30:12.282341445,2026-07-28 10:12:36.513110675,71.1,66.2,14.7,20.8,Eco,Flat,4,27.6,False,Heavy,1.476,200,299,99.91,False,False,False,False,False
10,1,20260729,2026-07-29 09:06:52.221292280,2026-07-29 10:54:44.948565007,66.2,54.1,35.6,19.8,Eco,Flat,7,23.1,False,Heavy,3.642,193,293,99.9,False,False,False,False,False
11,1,20260731,2026-07-31 09:02:32.671179704,2026-07-31 10:29:57.115624148,87.1,73.5,35.4,24.3,City,Flat,25,25.7,True,Moderate,4.066,236,261,99.89,False,False,False,False,False
12,1,20260731,2026-07-31 12:46:44.453887411,2026-07-31 13:09:38.999341956,73.5,70.4,8.4,22.0,Eco,Hilly,53,25.2,False,Moderate,0.94,200,268,99.89,False,False,False,False,False
13,1,20260731,2026-07-31 14:06:28.100774883,2026-07-31 14:26:59.188857784,70.4,68.1,6.6,19.3,Eco,Mixed,8,27.5,False,Heavy,0.687,205,288,99.89,False,False,False,False,False
14,1,20260802,2026-08-02 07:53:26.462778889,2026-08-02 09:00:25.067430051,68.1,60.3,19.2,17.2,City,Mixed,54,21.0,False,Heavy,2.326,183,248,99.88,False,False,False,False,False
15,1,20260806,2026-08-06 06:59:40.651208452,2026-08-06 08:12:37.121796687,60.3,47.7,37.2,30.6,Eco,Flat,27,21.9,True,Moderate,3.768,177,296,99.86,False,False,False,False,False
16,1,20260807,2026-08-07 09:42:19.684555317,2026-08-07 09:55:38.230009862,99.2,97.0,6.1,27.5,City,Flat,2,21.6,False,Moderate,0.646,276,283,99.86,False,False,False,False,False
17,1,20260811,2026-08-11 08:13:23.063857040,2026-08-11 09:37:48.932120513,100.0,88.0,23.5,16.7,City,Flat,17,25.3,False,Heavy,2.711,281,260,99.84,False,False,False,False,False
18,1,20260811,2026-08-11 11:18:16.295796540,2026-08-11 13:12:13.879689157,88.0,76.9,28.3,14.9,Eco,Hilly,255,21.4,False,Heavy,3.329,248,255,99.84,False,False,False,False,False
19,1,20260811,2026-08-11 14:11:37.547027927,2026-08-11 14:36:19.135475580,76.9,73.2,11.4,27.7,Eco,Flat,6,23.1,False,Moderate,1.099,211,311,99.84,False,False,False,False,False
20,1,20260811,2026-08-11 16:43:47.361615995,2026-08-11 18:57:31.942621581,73.2,59.6,39.9,17.9,Eco,Mixed,56,22.8,False,Heavy,4.086,212,293,99.84,False,False,False,False,False
21,1,20260812,2026-08-12 06:37:51.554385944,2026-08-12 06:49:13.492711935,84.2,82.5,4.3,22.7,City,Mixed,12,25.4,False,Moderate,0.514,227,251,99.83,False,False,False,False,False
22,1,20260818,2026-08-18 08:52:13.615494798,2026-08-18 10:44:07.129008311,82.5,70.7,34.5,18.5,Eco,Mixed,50,22.9,False,Heavy,3.54,237,292,99.81,False,False,False,False,False
23,1,20260822,2026-08-22 08:12:24.198064220,2026-08-22 09:20:48.545890306,70.7,62.6,23.6,20.7,Eco,Flat,7,24.9,False,Heavy,2.416,194,293,99.79,False,False,False,False,False
24,1,20260823,2026-08-23 09:35:45.333437893,2026-08-23 09:50:06.203003110,62.6,59.4,7.7,32.2,City,Mixed,14,21.6,True,Light,0.96,169,241,99.78,False,False,False,False,False
25,1,20260823,2026-08-23 11:49:24.553500556,2026-08-23 11:59:22.519602250,59.4,57.5,4.9,29.5,City,Mixed,18,24.6,False,Light,0.563,172,261,99.78,False,False,False,False,False
26,1,20260825,2026-08-25 06:25:56.577020202,2026-08-25 07:22:54.298539189,81.7,75.4,15.0,15.8,City,Mixed,8,24.6,False,Heavy,1.878,224,240,99.77,False,False,False,False,False
27,1,20260825,2026-08-25 08:13:48.344507135,2026-08-25 10:51:00.344507135,75.4,57.3,39.3,15.0,City,Hilly,88,23.7,False,Heavy,5.417,204,218,99.77,False,False,False,False,False
28,1,20260826,2026-08-26 07:03:42.715620330,2026-08-26 07:49:34.934050364,57.3,50.3,22.4,29.3,Eco,Flat,9,22.1,False,Moderate,2.089,152,322,99.77,False,False,False,False,False
29,1,20260829,2026-08-29 07:27:24.789193650,2026-08-29 09:05:59.074907935,93.5,83.0,29.9,18.2,Eco,Mixed,57,22.1,False,Heavy,3.135,256,286,99.75,False,False,False,False,False
30,1,20260903,2026-09-03 09:36:40.399858549,2026-09-03 10:16:12.021480170,83.0,76.3,19.5,29.6,Eco,Flat,12,18.0,True,Moderate,2.003,225,292,99.73,False,False,False,False,False
31,1,20260904,2026-09-04 07:53:33.881077094,2026-09-04 09:25:58.708663300,76.3,65.6,26.8,17.4,City,Mixed,83,18.4,False,Heavy,3.205,207,251,99.73,False,False,False,False,False
32,1,20260906,2026-09-06 06:05:51.725583266,2026-09-06 06:47:21.881023680,65.6,57.7,26.7,38.6,Eco,Flat,17,18.4,False,Light,2.369,186,338,99.72,False,False,False,False,False
33,1,20260907,2026-09-07 09:04:48.665115465,2026-09-07 09:20:59.827906162,93.8,91.9,5.8,21.5,Eco,Flat,3,22.8,False,Heavy,0.56,266,311,99.71,False,False,False,False,False
34,1,20260914,2026-09-14 08:01:08.805573471,2026-09-14 08:24:49.577086824,91.9,87.4,13.3,33.7,City,Flat,12,21.7,False,Light,1.349,260,296,99.68,False,False,False,False,False
35,1,20260916,2026-09-16 06:18:35.760295652,2026-09-16 06:53:34.338494704,87.4,82.9,12.3,21.1,Eco,Flat,2,20.7,True,Heavy,1.342,245,275,99.67,False,False,False,False,False
36,1,20260918,2026-09-18 06:49:38.415209007,2026-09-18 08:20:47.645978237,82.9,70.9,31.6,20.8,Eco,Hilly,136,21.5,False,Moderate,3.595,240,264,99.66,False,False,False,False,False
37,2,20260505,2026-05-05 08:11:04.305260167,2026-05-05 22:28:43.128789578,100.0,22.0,243.0,17.0,City,Flat,155,31.7,True,Heavy,35.091,354,312,99.99,False,False,False,False,False
38,2,20260505,2026-05-05 23:09:08.355643477,2026-05-06 06:09:36.119139620,71.3,5.0,272.6,38.9,Eco,Flat,55,30.9,False,Light,29.835,243,411,99.98,False,False,False,False,False
39,2,20260506,2026-05-06 08:15:21.161979792,2026-05-06 11:09:40.621439251,84.2,52.6,107.5,37.0,Eco,Mixed,94,29.15,True,Light,14.202,289,341,99.96,False,True,False,False,False
40,2,20260508,2026-05-08 08:51:36.211752712,2026-05-08 14:45:31.176787677,52.6,5.0,168.7,28.6,Eco,Mixed,546,29.15,True,Moderate,21.42,183,354,99.95,False,True,False,False,False
41,2,20260509,2026-05-09 06:36:43.072546951,2026-05-09 13:42:29.739213617,76.3,22.6,191.6,27.0,Eco,Mixed,311,32.6,False,Moderate,24.18,278,357,99.93,False,False,False,False,False
42,2,20260509,2026-05-09 14:41:46.492836916,2026-05-09 16:31:58.737734875,22.6,5.0,63.0,34.3,Eco,Mixed,109,32.3,True,Light,7.92,77,358,99.93,False,False,False,False,False
43,2,20260513,2026-05-13 06:22:19.968247987,2026-05-13 16:19:22.919067659,84.2,26.7,182.1,18.3,Eco,Mixed,539,32.4,True,Heavy,25.862,287,317,99.9,False,False,False,False,False
44,2,20260520,2026-05-20 08:53:54.024015739,2026-05-20 12:56:03.860081312,79.8,29.8,123.1,30.5,Sport,Mixed,179,30.0,True,Heavy,22.51,280,246,99.84,False,False,False,False,False
45,2,20260524,2026-05-24 07:45:42.750693158,2026-05-24 10:26:20.791038979,29.8,5.0,92.9,34.7,Eco,Flat,28,31.9,True,Light,11.16,102,375,99.81,False,False,False,False,False
46,2,20260602,2026-06-02 07:13:17.475518198,2026-06-02 17:57:53.151193873,94.1,17.3,238.5,22.2,City,Mixed,181,33.6,True,Moderate,34.567,327,310,99.74,False,False,False,False,False
