station_id,network_id,station_name,city,latitude,longitude,max_charger_power_kw,num_chargers,connector_types,operational_status
1,1,Tata Power EZ Charge - Delhi NCR Hub 1,Delhi NCR,28.576262,77.344214,60.0,4,CCS2,Active
2,1,Tata Power EZ Charge - Jaipur Hub 2,Jaipur,26.981998,75.816898,100.0,2,CCS2,Active
3,1,Tata Power EZ Charge - Jaipur Hub 3,Jaipur,26.809206,75.684098,120.0,8,CCS2,Active
4,1,Tata Power EZ Charge - Surat Hub 4,Surat,21.037625,72.940953,30.0,4,CCS2,Active
5,1,Tata Power EZ Charge - Hyderabad Hub 5,Hyderabad,17.415335,78.549122,50.0,6,"CCS2, CHAdeMO",Active
6,1,Tata Power EZ Charge - Ahmedabad Hub 6,Ahmedabad,22.878675,72.712373,60.0,2,CCS2,Active
7,1,Tata Power EZ Charge - Jaipur Hub 7,Jaipur,27.012133,75.701002,100.0,6,CCS2,Active
8,1,Tata Power EZ Charge - Surat Hub 8,Surat,21.074747,72.736121,7.2,4,Type 2,Active
9,1,Tata Power EZ Charge - Delhi NCR Hub 9,Delhi NCR,28.555173,77.216427,50.0,2,CCS2,Active
10,1,Tata Power EZ Charge - Delhi NCR Hub 10,Delhi NCR,28.593484,77.146369,100.0,6,CCS2,Active
11,1,Tata Power EZ Charge - Hyderabad Hub 11,Hyderabad,17.418556,78.378548,60.0,2,CCS2,Active
12,1,Tata Power EZ Charge - Mumbai Hub 12,Mumbai,19.013643,72.837609,50.0,8,CCS2,Active
13,1,Tata Power EZ Charge - Jaipur Hub 13,Jaipur,26.899221,75.872853,60.0,2,"CCS2, CHAdeMO",Active
14,1,Tata Power EZ Charge - Bengaluru Hub 14,Bengaluru,12.881502,77.59887,7.2,2,Type 2,Active
15,1,Tata Power EZ Charge - Surat Hub 15,Surat,21.197924,72.695035,7.2,1,Type 2,Active
16,1,Tata Power EZ Charge - Ahmedabad Hub 16,Ahmedabad,23.054763,72.472557,22.0,2,Type 2,Active
17,1,Tata Power EZ Charge - Mumbai Hub 17,Mumbai,18.945515,73.012366,120.0,8,CCS2,Active
18,1,Tata Power EZ Charge - Ahmedabad Hub 18,Ahmedabad,23.16219,72.663919,50.0,2,CCS2,Active
19,1,Tata Power EZ Charge - Delhi NCR Hub 19,Delhi NCR,28.555284,77.088302,50.0,8,CCS2,Active
20,1,Tata Power EZ Charge - Ahmedabad Hub 20,Ahmedabad,23.07777,72.553446,100.0,2,CCS2,Active
21,1,Tata Power EZ Charge - Delhi NCR Hub 21,Delhi NCR,28.500511,77.207553,120.0,6,CCS2,Active
22,1,Tata Power EZ Charge - Ahmedabad Hub 22,Ahmedabad,22.882817,72.694196,30.0,6,"CCS2, CHAdeMO",Inactive
23,1,Tata Power EZ Charge - Mumbai Hub 23,Mumbai,19.003634,72.926457,30.0,6,"CCS2, CHAdeMO",Active
24,1,Tata Power EZ Charge - Jaipur Hub 24,Jaipur,26.855913,75.79332,50.0,4,CCS2,Active
25,1,Tata Power EZ Charge - Jaipur Hub 25,Jaipur,26.926413,75.692756,22.0,2,Type 2,Active
26,1,Tata Power EZ Charge - Delhi NCR Hub 26,Delhi NCR,28.754775,77.29154,7.2,1,Type 2,Active
27,1,Tata Power EZ Charge - Surat Hub 27,Surat,21.30205,72.949548,3.3,4,Type 2,Active
28,1,Tata Power EZ Charge - Delhi NCR Hub 28,Delhi NCR,28.64327,77.335562,22.0,1,Type 2,Active
29,1,Tata Power EZ Charge - Kolkata Hub 29,Kolkata,22.449148,88.272695,3.3,2,Type 2,Active
30,1,Tata Power EZ Charge - Surat Hub 30,Surat,21.033768,72.778699,50.0,4,"CCS2, CHAdeMO",Active
31,1,Tata Power EZ Charge - Ahmedabad Hub 31,Ahmedabad,22.989103,72.502805,22.0,2,Type 2,Active
32,1,Tata Power EZ Charge - Jaipur Hub 32,Jaipur,27.011021,75.744326,50.0,6,CCS2,Active
33,1,Tata Power EZ Charge - Jaipur Hub 33,Jaipur,26.84668,75.800109,50.0,2,CCS2,Active
34,1,Tata Power EZ Charge - Bengaluru Hub 34,Bengaluru,12.863877,77.685259,3.3,4,Type 2,Active
35,1,Tata Power EZ Charge - Kolkata Hub 35,Kolkata,22.444965,88.509966,50.0,8,CCS2,Active
36,1,Tata Power EZ Charge - Kolkata Hub 36,Kolkata,22.654273,88.273515,3.3,1,Type 2,Active
37,1,Tata Power EZ Charge - Ahmedabad Hub 37,Ahmedabad,22.874157,72.666038,100.0,2,CCS2,Active
38,1,Tata Power EZ Charge - Delhi NCR Hub 38,Delhi NCR,28.675957,77.277702,150.0,2,CCS2,Active
39,1,Tata Power EZ Charge - Pune Hub 39,Pune,18.601781,73.728913,50.0,6,CCS2,Active
40,1,Tata Power EZ Charge - Delhi NCR Hub 40,Delhi NCR,28.57144,77.093761,120.0,2,CCS2,Under Maintenance
41,2,Statiq - Pune Hub 41,Pune,18.629331,73.893689,100.0,8,CCS2,Under Maintenance
42,2,Statiq - Mumbai Hub 42,Mumbai,19.025269,72.746768,100.0,8,CCS2,Active
43,2,Statiq - Jaipur Hub 43,Jaipur,26.855695,75.734855,100.0,6,CCS2,Active
44,2,Statiq - Bengaluru Hub 44,Bengaluru,13.040482,77.635867,120.0,6,CCS2,Active
45,2,Statiq - Surat Hub 45,Surat,21.286364,72.822764,120.0,2,CCS2,Active
46,2,Statiq - Delhi NCR Hub 46,Delhi NCR,28.499778,77.272973,150.0,8,"CCS2, CHAdeMO",Active
47,2,Statiq - Surat Hub 47,Surat,21.248436,72.849483,120.0,2,CCS2,Active
48,2,Statiq - Surat Hub 48,Surat,21.25149,72.829239,60.0,4,"CCS2, CHAdeMO",Active
49,2,Statiq - Hyderabad Hub 49,Hyderabad,17.39182,78.464962,100.0,6,CCS2,Active
50,2,Statiq - Delhi NCR Hub 50,Delhi NCR,28.471526,77.091367,120.0,2,"CCS2, CHAdeMO",Active
51,2,Statiq - Pune Hub 51,Pune,18.379829,73.897623,50.0,2,"CCS2, CHAdeMO",Active
52,2,Statiq - Hyderabad Hub 52,Hyderabad,17.329307,78.489271,100.0,6,"CCS2, CHAdeMO",Active
53,2,Statiq - Jaipur Hub 53,Jaipur,27.03467,75.712088,120.0,2,CCS2,Under Maintenance
54,2,Statiq - Mumbai Hub 54,Mumbai,19.049115,72.954365,30.0,4,CCS2,Active
55,2,Statiq - Surat Hub 55,Surat,21.088839,72.704194,60.0,6,CCS2,Active
56,2,Statiq - Chennai Hub 56,Chennai,13.019625,80.169066,3.3,1,Type 2,Active
57,2,Statiq - Chennai Hub 57,Chennai,13.211609,80.363136,60.0,6,CCS2,Active
58,2,Statiq - Kolkata Hub 58,Kolkata,22.612621,88.475338,100.0,2,CCS2,Active
59,2,Statiq - Mumbai Hub 59,Mumbai,19.167102,72.783671,60.0,4,CCS2,Active
60,2,Statiq - Bengaluru Hub 60,Bengaluru,13.089368,77.606403,30.0,4,"CCS2, CHAdeMO",Active
61,2,Statiq - Delhi NCR Hub 61,Delhi NCR,28.706132,77.327827,120.0,8,"CCS2, CHAdeMO",Inactive
62,2,Statiq - Mumbai Hub 62,Mumbai,19.021401,72.760716,3.3,1,Type 2,Inactive
63,2,Statiq - Mumbai Hub 63,Mumbai,18.994381,72.855832,3.3,1,Type 2,Active
64,2,Statiq - Hyderabad Hub 64,Hyderabad,17.480404,78.594919,7.2,4,Type 2,Active
65,2,Statiq - Pune Hub 65,Pune,18.372486,73.859924,150.0,2,CCS2,Active
66,2,Statiq - Pune Hub 66,Pune,18.495623,73.773332,100.0,4,CCS2,Active
67,2,Statiq - Pune Hub 67,Pune,18.40636,73.807985,60.0,6,"CCS2, CHAdeMO",Active
68,2,Statiq - Jaipur Hub 68,Jaipur,27.045273,75.734261,120.0,2,CCS2,Active
69,2,Statiq - Chennai Hub 69,Chennai,13.088337,80.331606,60.0,8,CCS2,Active
70,2,Statiq - Hyderabad Hub 70,Hyderabad,17.344089,78.628235,120.0,4,CCS2,Active
71,2,Statiq - Ahmedabad Hub 71,Ahmedabad,23.161234,72.496935,120.0,4,CCS2,Active
72,2,Statiq - Delhi NCR Hub 72,Delhi NCR,28.613075,77.149263,7.2,4,Type 2,Active
73,2,Statiq - Delhi NCR Hub 73,Delhi NCR,28.549352,77.070066,7.2,4,Type 2,Active
74,2,Statiq - Ahmedabad Hub 74,Ahmedabad,23.055369,72.572204,150.0,4,CCS2,Active
75,2,Statiq - Ahmedabad Hub 75,Ahmedabad,22.887944,72.504994,50.0,6,CCS2,Active
76,2,Statiq - Bengaluru Hub 76,Bengaluru,13.09408,77.516469,50.0,6,CCS2,Active
77,3,ChargeZone - Kolkata Hub 77,Kolkata,22.466068,88.360736,120.0,4,CCS2,Active
78,3,ChargeZone - Chennai Hub 78,Chennai,13.228395,80.193317,150.0,2,CCS2,Active
79,3,ChargeZone - Pune Hub 79,Pune,18.572041,73.935186,50.0,4,"CCS2, CHAdeMO",Active
80,3,ChargeZone - Pune Hub 80,Pune,18.441691,73.925165,22.0,1,Type 2,Active
81,3,ChargeZone - Surat Hub 81,Surat,21.130535,72.870792,150.0,8,CCS2,Active
82,3,ChargeZone - Bengaluru Hub 82,Bengaluru,13.011659,77.605332,3.3,2,Type 2,Active
83,3,ChargeZone - Jaipur Hub 83,Jaipur,26.789487,75.887891,120.0,2,CCS2,Active
84,3,ChargeZone - Kolkata Hub 84,Kolkata,22.518834,88.269856,120.0,8,CCS2,Active
85,3,ChargeZone - Jaipur Hub 85,Jaipur,26.774633,75.814568,120.0,4,CCS2,Active
86,3,ChargeZone - Kolkata Hub 86,Kolkata,22.625869,88.218876,50.0,6,"CCS2, CHAdeMO",Active
87,3,ChargeZone - Jaipur Hub 87,Jaipur,26.916028,75.705249,50.0,2,CCS2,Active
88,3,ChargeZone - Pune Hub 88,Pune,18.563952,73.75901,60.0,2,"CCS2, CHAdeMO",Active
89,3,ChargeZone - Pune Hub 89,Pune,18.577681,73.822721,50.0,2,CCS2,Active
90,3,ChargeZone - Hyderabad Hub 90,Hyderabad,17.516019,78.377956,100.0,8,CCS2,Active
91,3,ChargeZone - Surat Hub 91,Surat,21.12252,72.715142,3.3,4,Type 2,Active
92,3,ChargeZone - Bengaluru Hub 92,Bengaluru,13.099008,77.707802,7.2,2,Type 2,Active
93,3,ChargeZone - Ahmedabad Hub 93,Ahmedabad,22.949882,72.619395,150.0,4,CCS2,Active
94,3,ChargeZone - Chennai Hub 94,Chennai,13.177867,80.28726,30.0,8,CCS2,Active
95,3,ChargeZone - Kolkata Hub 95,Kolkata,22.581495,88.286456,22.0,4,Type 2,Active
96,3,ChargeZone - Ahmedabad Hub 96,Ahmedabad,22.900431,72.690565,150.0,8,CCS2,Active
97,3,ChargeZone - Kolkata Hub 97,Kolkata,22.692725,88.40383,60.0,4,CCS2,Active
98,3,ChargeZone - Hyderabad Hub 98,Hyderabad,17.336709,78.441463,7.2,2,Type 2,Active
99,4,Jio-bp Pulse - Ahmedabad Hub 99,Ahmedabad,23.090287,72.690533,30.0,2,CCS2,Inactive
100,4,Jio-bp Pulse - Hyderabad Hub 100,Hyderabad,17.501126,78.570663,30.0,2,CCS2,Active
101,4,Jio-bp Pulse - Pune Hub 101,Pune,18.563009,73.731942,30.0,4,CCS2,Active
102,4,Jio-bp Pulse - Delhi NCR Hub 102,Delhi NCR,28.512389,77.328566,50.0,6,CCS2,Active
103,4,Jio-bp Pulse - Mumbai Hub 103,Mumbai,19.107929,72.730459,150.0,4,CCS2,Under Maintenance
104,4,Jio-bp Pulse - Delhi NCR Hub 104,Delhi NCR,28.494341,77.258051,60.0,8,CCS2,Active
105,4,Jio-bp Pulse - Pune Hub 105,Pune,18.371918,73.754942,150.0,4,"CCS2, CHAdeMO",Active
106,4,Jio-bp Pulse - Chennai Hub 106,Chennai,13.09732,80.328269,22.0,1,Type 2,Active
107,4,Jio-bp Pulse - Surat Hub 107,Surat,21.215788,72.748381,7.2,4,Type 2,Active
108,4,Jio-bp Pulse - Hyderabad Hub 108,Hyderabad,17.448654,78.407875,150.0,8,CCS2,Active
