date_id,full_date,day,month,month_name,quarter,year,day_name,is_weekend,season
20260323,2026-03-23,23,3,March,1,2026,Monday,False,Summer
20260324,2026-03-24,24,3,March,1,2026,Tuesday,False,Summer
20260325,2026-03-25,25,3,March,1,2026,Wednesday,False,Summer
20260326,2026-03-26,26,3,March,1,2026,Thursday,False,Summer
20260327,2026-03-27,27,3,March,1,2026,Friday,False,Summer
20260328,2026-03-28,28,3,March,1,2026,Saturday,True,Summer
20260329,2026-03-29,29,3,March,1,2026,Sunday,True,Summer
20260330,2026-03-30,30,3,March,1,2026,Monday,False,Summer
20260331,2026-03-31,31,3,March,1,2026,Tuesday,False,Summer
20260401,2026-04-01,1,4,April,2,2026,Wednesday,False,Summer
20260402,2026-04-02,2,4,April,2,2026,Thursday,False,Summer
20260403,2026-04-03,3,4,April,2,2026,Friday,False,Summer
20260404,2026-04-04,4,4,April,2,2026,Saturday,True,Summer
20260405,2026-04-05,5,4,April,2,2026,Sunday,True,Summer
20260406,2026-04-06,6,4,April,2,2026,Monday,False,Summer
20260407,2026-04-07,7,4,April,2,2026,Tuesday,False,Summer
20260408,2026-04-08,8,4,April,2,2026,Wednesday,False,Summer
20260409,2026-04-09,9,4,April,2,2026,Thursday,False,Summer
20260410,2026-04-10,10,4,April,2,2026,Friday,False,Summer
20260411,2026-04-11,11,4,April,2,2026,Saturday,True,Summer
20260412,2026-04-12,12,4,April,2,2026,Sunday,True,Summer
20260413,2026-04-13,13,4,April,2,2026,Monday,False,Summer
20260414,2026-04-14,14,4,April,2,2026,Tuesday,False,Summer
20260415,2026-04-15,15,4,April,2,2026,Wednesday,False,Summer
20260416,2026-04-16,16,4,April,2,2026,Thursday,False,Summer
20260417,2026-04-17,17,4,April,2,2026,Friday,False,Summer
20260418,2026-04-18,18,4,April,2,2026,Saturday,True,Summer
20260419,2026-04-19,19,4,April,2,2026,Sunday,True,Summer
20260420,2026-04-20,20,4,April,2,2026,Monday,False,Summer
20260421,2026-04-21,21,4,April,2,2026,Tuesday,False,Summer
20260422,2026-04-22,22,4,April,2,2026,Wednesday,False,Summer
20260423,2026-04-23,23,4,April,2,2026,Thursday,False,Summer
20260424,2026-04-24,24,4,April,2,2026,Friday,False,Summer
20260425,2026-04-25,25,4,April,2,2026,Saturday,True,Summer
20260426,2026-04-26,26,4,April,2,2026,Sunday,True,Summer
20260427,2026-04-27,27,4,April,2,2026,Monday,False,Summer
